city,mean electirc eui,mean electric eui res,mean fuel eui,mean fuel eui res
Tampa,91.06470901112515,33.95464995958797,4.139954805419596,1.8085401527153082
Fort Lauderdale,107.72075103082895,30.961641001397577,4.419404969785829,0.3739819334263332
Jacksonville,122.86620511669254,29.627216522862522,24.29323448138783,1.3842155707586141
Orlando,95.56394254373518,29.20917801062246,4.7877373792521905,4.861219334247965
Atlanta,57.91418111399713,24.45748784381345,16.010710259958895,26.365017843150962
Columbus,92.4010519338068,15.62094979830592,37.72857107282403,18.62335117082258
Savannah,128.5313430653104,33.23976162710461,24.01042657917378,14.146701464150292
Augusta,88.7170599120888,22.21330716383179,18.09053559965065,23.177415177386585
Macon,79.48788652613335,,6.297215321716958,
Honolulu,88.29673203112202,17.574633180568025,4.678787859142906,2.516490712072229
Hilo,74.7325700383774,,0.0,
Boise,91.41423742801473,,25.106096489709007,
Idaho Falls,47.50926119653819,,29.89945671628481,
Pocatello,35.927139876040464,,17.45473902730698,
Twin Falls,79.07418199372218,,20.047026053762682,
Chicago,95.52182905233356,17.829643557236174,35.183958655594296,84.34510543290115
Joliet,73.08287296628826,11.69561761427519,51.095388050454574,35.81378220084923
Aurora,66.98306594218585,11.927933806365008,31.94744913449202,30.957443055865706
Elgin,103.62940983804366,12.863295573769369,53.01428914429208,40.454403276322445
Indianapolis,102.21205917366758,30.90825823786013,35.2907158556995,25.568542017460537
Fort Wayne,116.59543393966197,16.836651920833678,56.94395769780033,23.732056011351787
South Bend,137.09463703635421,,52.46747150694071,
Evansville,143.1335345890564,,47.303967467127535,
Des Moines,41.70501411774988,18.069177488753162,21.919635612115275,27.71121014985281
Davenport,73.94713507260782,,39.07521988851775,
Cedar Rapids,50.82036009183244,,39.709262090399044,
Sioux City,29.27740173980743,,34.60146300394168,
Waterloo,64.98914732616511,13.772395879859035,44.291905625611136,25.706230611705852
Wichita,119.61652724910266,19.743661610351268,39.06059484323027,270.7146361263964
Topeka,81.00286144915977,,23.852875632401044,
Lawrence,86.01581506269613,31.5752248635505,29.52097949685599,37.33109893013163
Manhattan,,,,
Louisville,91.61611114486058,24.118428824136473,30.59892485121049,24.129675154241088
Lexington,105.52519400944246,,34.335112365166296,
Bowling Green,77.38526794785508,21.013402469953533,27.973878520272983,52.23932416810165
Owensboro,74.4337674731633,,23.989685574596333,
New Orleans,107.86876169142626,30.88778531970241,9.292414574270754,21.977183225935203
Baton Rouge,102.67339777352086,,10.419489609698301,
Shreveport,103.39723914395523,,13.79684936490262,
Lafayette,94.56318506109584,,26.58148951262253,
Portland,62.54861416464777,14.519812306692593,28.76826075598467,12.31275597688363
Lewiston,50.312283681072174,,38.65240938205009,
Bangor,53.82963034270788,,49.17681098961141,
Augusta,88.7170599120888,,18.09053559965065,
Baltimore,74.56631638168685,18.626991002191293,61.53441691634752,24.662709542505205
Annapolis,77.13229377945692,,55.54669940361645,
Hagerstown,88.67235646216955,18.535476714001998,24.815487839492413,4.600349488086979
Cumberland,47.40467681440829,,19.51005955852119,
Boston,59.35398597651956,20.50315563014842,47.42230486026154,54.6394412851529
Springfield,79.40634387455506,25.507182345145832,25.94934234873545,34.17066144054092
Worcester,44.07518475992485,13.261969138598825,53.14608210851688,43.98260415162787
Detroit,59.51167883452533,13.549945807368474,39.132405781993135,62.2319609660722
Grand Rapids,83.72820288939555,11.371526923852098,65.54304442867408,0.5491358311384852
Flint,89.66938770401092,11.675698459782655,67.68116486300852,176.19290815034245
Lansing,55.48951795540911,14.355829284074687,43.33639682949475,10.302355087759532
Ann Arbor,93.07487013866776,,62.953670817692,
Minneapolis,53.77095711896192,11.878222829524855,50.73514853153389,40.83292950383525
Rochester,55.28503445195568,12.026424924684477,46.60486262733186,36.808964645139284
Jackson,86.33748283723068,,36.57278486839378,
Gulfport,,,,
Hattiesburg,105.30697751175248,,13.17349518982116,
Kansas City,61.621750088167104,23.0700825347848,20.13299765338699,48.58494029173303
Columbia,84.84317093310442,26.65150296775662,30.906375510824134,28.218120532725433
Springfield,79.40634387455506,,25.94934234873545,
Billings,37.39647088900118,,37.66046921963863,
Missoula,85.28608113182767,,41.10299953917888,
Great Falls,84.32727252598616,20.190454070964318,24.80656142179648,17.40661611125705
Bozeman,56.783809504399784,,31.16778949738322,
Helena,,,,
