city,state,mean site eui,mean site eui res,mean source eui,mean source eui res,CDD,HDD,Tavg,Trange,Tmax,Tmin,Prcp,Snow
Providence,RI,80.20023194,10.407229484195742,180.00453480000002,23.296991429389763,616,6115,49.82,20.84,60.26,39.56,5142,362
Newport,RI,113.1304998,40.73143839334989,291.8347903,112.7173201062106,600,5732,50.9,22.28,62.06,39.74,5287,302
Columbia,SC,105.98092040000002,54.41576294921013,275.1824728,111.2420944290173,1598,3371,60.08,29.48,74.84,45.32,4547,10
Charleston,SC,124.49618079999999,49.87316713185593,341.58356989999993,132.48201498623192,2340,2018,65.84,19.22,75.56,56.12000000000001,4973,0
Greenville,SC,129.7423639,40.030115267149476,334.2210408,98.84779224491652,1490,3411,59.72,24.26,71.96,47.66,5594,4
Memphis,TN,112.1825074,49.88042368681936,303.031317,124.18577375553456,2021,3317,61.34,19.4,71.06,51.8,5340,28
Nashville,TN,150.7269549,44.141701025844284,393.6982177,125.6577118972905,1332,4107,57.38,24.62,69.62,45.14,5267,18
Knoxville,TN,139.14474719999998,37.14807062245915,333.29472810000004,99.25468992670395,1339,3955,57.74,23.0,69.25999999999999,46.22,5193,65
Chattanooga,TN,96.62222983,37.64086501902485,271.289067,99.8750553881536,1433,3560,59.18,24.98,71.78,46.58,4499,0
Houston,TX,82.47733256,55.32809916058668,231.72419130000003,116.7923266078672,2586,1469,68.0,18.32,77.18,58.82,5350,0
Dallas,TX,88.02108432,58.128451701062545,260.4726207,141.98093391407562,2463,2429,65.12,23.9,77.0,53.06,4015,7
San Antonio,TX,96.1138494,41.376379342128686,284.63120810000004,103.62349348422545,2364,2049,65.84,24.8,78.25999999999998,53.42,3810,-7777
Austin,TX,83.45718866,42.98109811087697,242.5265125,93.41574038481504,2710,1918,67.28,24.26,79.16,55.04,3489,6
Salt Lake City,UT,134.5682814,66.46771570489935,315.097126,107.4892087401292,21,9639,38.66,18.32,47.84,29.48,5423,5461
Ogden,UT,149.5257612,50.792128336138184,346.1957505,84.4634320619675,1174,5670,52.7,17.240000000000002,61.34,44.06,1338,485
Virginia Beach,VA,69.98037327,58.19740011881584,195.8494603,121.3419742665417,1647,3215,60.62,16.520000000000003,69.08,52.34,5079,58
Richmond,VA,112.7045206,43.936039385257565,315.2141142,103.40617739623094,1292,4096,57.38,20.66,67.64,46.94,4341,165
Hampton,VA,97.87837459999999,38.02784278816564,271.50766200000004,99.75304146535058,1836,2958,61.88,17.06,70.34,53.42,5079,49
Seattle,WA,79.72324338,36.055702903770324,195.3535939,90.92973500324426,165,4919,51.98,16.88,60.44000000000001,43.52,5637,35
Charleston,WV,124.49618079999999,49.87316713185593,341.58356989999993,132.48201498623192,924,4955,53.96,23.36,65.66,42.26000000000001,4622,264
Milwaukee,WI,112.4038374,61.21931445891554,248.7961685,93.83842606463809,568,7304,46.58,18.5,55.76,37.22,3450,359
Madison,WI,125.285525,55.60126911948489,303.7062517,86.48992967834495,597,7283,46.76,21.38,57.38,35.96,3727,379
Green Bay,WI,92.15910753,22.648929694914532,222.37602489999998,47.65993572698103,358,7885,44.42,18.5,53.6,35.06,3127,514
